fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,mae_bp,inner_n
2,decision_close_2023_2,history_qwen_demand|lambda=1|scaling=fixed,history_qwen_demand,1.0,fixed,0.22857142857142856,0.6382076402085712,81.59273736677783,46
2,decision_close_2023_2,history_qwen_forward|lambda=0.01|scaling=fixed,history_qwen_forward,0.01,fixed,0.4380952380952381,0.5893467833008923,103.99077544214227,46
2,decision_close_2023_2,history_qwen_forward|lambda=0.1|scaling=fixed,history_qwen_forward,0.1,fixed,0.3942833123160992,0.5620205988273651,88.3792264610668,46
2,decision_close_2023_2,history_qwen_forward|lambda=1|scaling=fixed,history_qwen_forward,1.0,fixed,0.22857142857142856,0.6391395914328732,79.1191621629782,46
2,decision_close_2023_2,history_qwen_scores_only|lambda=0.01|scaling=fixed,history_qwen_scores_only,0.01,fixed,0.4166666666666667,0.6258028758436273,113.45411041367335,46
2,decision_close_2023_2,history_qwen_scores_only|lambda=0.1|scaling=fixed,history_qwen_scores_only,0.1,fixed,0.39040529363110005,0.5577883004927172,92.70380766944311,46
2,decision_close_2023_2,history_qwen_scores_only|lambda=1|scaling=fixed,history_qwen_scores_only,1.0,fixed,0.22857142857142856,0.6422012584667628,79.39231899705102,46
2,decision_close_2023_2,history_qwen_missing_only|lambda=0.01|scaling=fixed,history_qwen_missing_only,0.01,fixed,0.4496216646754281,0.5941383375447203,106.84859932847819,46
2,decision_close_2023_2,history_qwen_missing_only|lambda=0.1|scaling=fixed,history_qwen_missing_only,0.1,fixed,0.4172839506172839,0.5633734483535947,91.00043535841588,46
2,decision_close_2023_2,history_qwen_missing_only|lambda=1|scaling=fixed,history_qwen_missing_only,1.0,fixed,0.22857142857142856,0.6354821516481336,82.39307542554145,46
2,decision_close_2023_2,proxy_market|lambda=0.01|scaling=fixed,proxy_market,0.01,fixed,0.5135914194737724,0.6638141649233928,136.13496642020542,46
2,decision_close_2023_2,proxy_market|lambda=0.1|scaling=fixed,proxy_market,0.1,fixed,0.4922522522522523,0.5445399621447403,107.31370551109698,46
2,decision_close_2023_2,proxy_market|lambda=1|scaling=fixed,proxy_market,1.0,fixed,0.33015873015873015,0.610871448474978,87.42367634950224,46
2,decision_close_2023_2,proxy_market_lsa|lambda=0.01|scaling=row_only,proxy_market_lsa,0.01,row_only,0.5135914194737724,0.6540257000384729,134.38564860344638,46
2,decision_close_2023_2,proxy_market_lsa|lambda=0.1|scaling=row_only,proxy_market_lsa,0.1,row_only,0.4760348583877996,0.5424928657348773,107.11418918455838,46
2,decision_close_2023_2,proxy_market_lsa|lambda=1|scaling=row_only,proxy_market_lsa,1.0,row_only,0.33015873015873015,0.6081752786086926,87.54938810632645,46
2,decision_close_2023_2,proxy_market_lsa|lambda=0.01|scaling=column_standardized,proxy_market_lsa,0.01,column_standardized,0.5278488206876953,0.653204173131141,133.44633527469657,46
2,decision_close_2023_2,proxy_market_lsa|lambda=0.1|scaling=column_standardized,proxy_market_lsa,0.1,column_standardized,0.46740740740740744,0.5243141320937721,103.28904538291253,46
2,decision_close_2023_2,proxy_market_lsa|lambda=1|scaling=column_standardized,proxy_market_lsa,1.0,column_standardized,0.3526203000194818,0.577715486574245,87.6858224575028,46
2,decision_close_2023_2,history_transformer|lambda=0.01|scaling=fixed,history_transformer,0.01,fixed,0.4259259259259259,0.624382256313747,87.42665661838478,46
2,decision_close_2023_2,history_transformer|lambda=0.1|scaling=fixed,history_transformer,0.1,fixed,0.4084249084249085,0.5961471402145618,86.47693181408576,46
2,decision_close_2023_2,history_transformer|lambda=1|scaling=fixed,history_transformer,1.0,fixed,0.4084249084249085,0.5678548591265642,91.91977303014144,46
3,decision_close_2023_3,history|lambda=0.01|scaling=fixed,history,0.01,fixed,0.44897189209583094,0.5563944595742087,102.96938858925354,47
3,decision_close_2023_3,history|lambda=0.1|scaling=fixed,history,0.1,fixed,0.3934294871794872,0.5380658810519254,87.35882791163802,47
3,decision_close_2023_3,history|lambda=1|scaling=fixed,history,1.0,fixed,0.23148148148148148,0.6300606410675922,78.92473511114645,47
3,decision_close_2023_3,history_tfidf|lambda=0.01|scaling=row_only,history_tfidf,0.01,row_only,0.45314900153609833,0.534595448011211,95.46840635688022,47
3,decision_close_2023_3,history_tfidf|lambda=0.1|scaling=row_only,history_tfidf,0.1,row_only,0.3934294871794872,0.5279900513491357,86.36532974163231,47
3,decision_close_2023_3,history_tfidf|lambda=1|scaling=row_only,history_tfidf,1.0,row_only,0.23148148148148148,0.62511147709693,79.08490115023443,47
3,decision_close_2023_3,history_tfidf|lambda=0.01|scaling=column_standardized,history_tfidf,0.01,column_standardized,0.4783882783882784,0.604222803310746,76.18305375156567,47
3,decision_close_2023_3,history_tfidf|lambda=0.1|scaling=column_standardized,history_tfidf,0.1,column_standardized,0.4866127583108715,0.568110470022221,76.14554874919479,47
3,decision_close_2023_3,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf,1.0,column_standardized,0.4866127583108715,0.51859334838072,75.77957013273,47
3,decision_close_2023_3,history_lsa|lambda=0.01|scaling=row_only,history_lsa,0.01,row_only,0.4637345679012346,0.5694660310659435,109.0261402069031,47
3,decision_close_2023_3,history_lsa|lambda=0.1|scaling=row_only,history_lsa,0.1,row_only,0.3934294871794872,0.5291472885637734,89.2143664108406,47
3,decision_close_2023_3,history_lsa|lambda=1|scaling=row_only,history_lsa,1.0,row_only,0.23148148148148148,0.6239076426681598,79.4756732704286,47
3,decision_close_2023_3,history_lsa|lambda=0.01|scaling=column_standardized,history_lsa,0.01,column_standardized,0.4646464646464647,0.6201942807022166,110.33031948410597,47
3,decision_close_2023_3,history_lsa|lambda=0.1|scaling=column_standardized,history_lsa,0.1,column_standardized,0.4564330737856878,0.5220130069416596,101.47627034953231,47
3,decision_close_2023_3,history_lsa|lambda=1|scaling=column_standardized,history_lsa,1.0,column_standardized,0.2698295033358043,0.5751948372718239,82.97010090801321,47
3,decision_close_2023_3,history_qwen_all|lambda=0.01|scaling=fixed,history_qwen_all,0.01,fixed,0.42776432606941084,0.6281423408079815,112.033904207686,47
3,decision_close_2023_3,history_qwen_all|lambda=0.1|scaling=fixed,history_qwen_all,0.1,fixed,0.4201513341298287,0.5635084695592666,92.02735151653836,47
