fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,log_loss,mae_bp,inner_n
31,decision_close_2025_7,history_qwen_missing_only|lambda=0.1|scaling=fixed,history_qwen_missing_only,0.1,fixed,0.5424204498046801,0.5644433460099869,0.9687924050271973,116.22419212976199,75
31,decision_close_2025_7,history_qwen_missing_only|lambda=1|scaling=fixed,history_qwen_missing_only,1.0,fixed,0.224188790560472,0.6439507662217459,1.0555478899148205,114.6210525460321,75
31,decision_close_2025_7,history_qwen_missing_only|lambda=10|scaling=fixed,history_qwen_missing_only,10.0,fixed,0.224188790560472,0.7013850159230707,1.1702998821138249,128.163405824188,75
31,decision_close_2025_7,proxy_market|lambda=0.001|scaling=fixed,proxy_market,0.001,fixed,0.5714750375893707,0.6924880460551325,2.48583414833093,159.2833354336236,75
31,decision_close_2025_7,proxy_market|lambda=0.01|scaling=fixed,proxy_market,0.01,fixed,0.5966833641252246,0.6138835524292963,1.3451638977171299,145.74582123042813,75
31,decision_close_2025_7,proxy_market|lambda=0.1|scaling=fixed,proxy_market,0.1,fixed,0.6341563786008231,0.546711213568309,0.9830553702760964,124.19465748364172,75
31,decision_close_2025_7,proxy_market|lambda=1|scaling=fixed,proxy_market,1.0,fixed,0.4071956680204103,0.6177179620563659,1.0167033282277174,122.20418650709347,75
31,decision_close_2025_7,proxy_market|lambda=10|scaling=fixed,proxy_market,10.0,fixed,0.224188790560472,0.68734341233567,1.146523799838849,131.44734567078234,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.001|scaling=row_only,proxy_market_lsa,0.001,row_only,0.595464782964783,0.6399803754093774,2.3798043788827568,157.38037124258815,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.01|scaling=row_only,proxy_market_lsa,0.01,row_only,0.6178978955265132,0.5973623505433201,1.3116531828281472,142.7411320587592,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.1|scaling=row_only,proxy_market_lsa,0.1,row_only,0.6215816703621582,0.5435066894942632,0.9763193665990525,123.2355233445515,75
31,decision_close_2025_7,proxy_market_lsa|lambda=1|scaling=row_only,proxy_market_lsa,1.0,row_only,0.4071956680204103,0.6155562186955053,1.0137281800495994,122.25262334228323,75
31,decision_close_2025_7,proxy_market_lsa|lambda=10|scaling=row_only,proxy_market_lsa,10.0,row_only,0.224188790560472,0.6868236557831344,1.1455246257708522,131.47777402158593,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.001|scaling=column_standardized,proxy_market_lsa,0.001,column_standardized,0.6437151192288179,0.6465843333865832,2.3718074460749365,162.43706513701974,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.01|scaling=column_standardized,proxy_market_lsa,0.01,column_standardized,0.6843164517583121,0.5604705503468206,1.239115087902634,144.01399123186155,75
31,decision_close_2025_7,proxy_market_lsa|lambda=0.1|scaling=column_standardized,proxy_market_lsa,0.1,column_standardized,0.6187636652752931,0.5242422218615439,0.9366321938523001,119.72899972982353,75
